"Time","Time_2","Density"
"5.11","4.88","0.5962"
"5.12","4.96","1.6466"
"5.14","5.04","2.9112"
"5.03","5.12","3.2948"
"5.18","5.20","2.3871"
"5.21","5.28","1.1071"
"5.03","5.36","0.3287"
"5.13","",""
"5.03","",""
"5.40","",""
"5.31","",""
"5.10","",""
"5.19","",""
"4.97","",""
"5.19","",""
"5.04","",""
"4.85","",""
"4.96","",""
"4.94","",""
"5.31","",""
"5.08","",""
"4.96","",""
"5.08","",""
"5.28","",""
"5.28","",""
"4.96","",""
"5.08","",""
"4.99","",""
"5.08","",""
"5.09","",""
"4.98","",""
"5.25","",""
"5.11","",""
"4.96","",""
"5.05","",""
"5.10","",""
"5.32","",""
"5.14","",""
"4.98","",""
"5.23","",""
"4.95","",""
"5.27","",""
"5.02","",""
"5.15","",""
"5.07","",""
"5.25","",""
"5.05","",""
"5.16","",""
"4.92","",""
"5.03","",""
